AgentId,AgentCode,FirstName,LastName,Email,Phone,Role,CountryId,IsActive,CreatedBy,CreatedOn
1,AG0001,Agent1,Lastname,agent1@darglobal.com,+968556755036,AI Agent Supervisor,8,1,SYSTEM,2025-06-11 10:38:39.909225
2,AG0002,Agent2,Lastname,agent2@darglobal.com,+971526735830,AI Agent Supervisor,8,1,SYSTEM,2024-09-27 10:38:39.909381
3,AG0003,Agent3,Lastname,agent3@darglobal.com,+974588409749,Luxury Specialist,2,1,SYSTEM,2024-12-02 10:38:39.909458
4,AG0004,Agent4,Lastname,agent4@darglobal.com,+971598750923,Lead Qualifier,6,0,SYSTEM,2024-10-12 10:38:39.909531
5,AG0005,Agent5,Lastname,agent5@darglobal.com,+966577751354,Lead Qualifier,3,1,SYSTEM,2025-01-21 10:38:39.909601
6,AG0006,Agent6,Lastname,agent6@darglobal.com,+966565285250,Luxury Specialist,3,1,SYSTEM,2024-10-28 10:38:39.909674
7,AG0007,Agent7,Lastname,agent7@darglobal.com,+971548900483,Senior Closer,2,1,SYSTEM,2024-10-11 10:38:39.909742
8,AG0008,Agent8,Lastname,agent8@darglobal.com,+91552157313,Follow-up Specialist,7,1,SYSTEM,2025-01-01 10:38:39.909849
9,AG0009,Agent9,Lastname,agent9@darglobal.com,+974513187277,Senior Closer,4,1,SYSTEM,2025-09-20 10:38:39.910002
10,AG0010,Agent10,Lastname,agent10@darglobal.com,+971522335235,Team Leader,2,1,SYSTEM,2025-04-13 10:38:39.910203
11,AG0011,Agent11,Lastname,agent11@darglobal.com,+971585157821,Follow-up Specialist,8,1,SYSTEM,2025-01-13 10:38:39.910341
12,AG0012,Agent12,Lastname,agent12@darglobal.com,+966555105831,Luxury Specialist,2,1,SYSTEM,2024-12-16 10:38:39.910455
13,AG0013,Agent13,Lastname,agent13@darglobal.com,+971557055419,Follow-up Specialist,9,1,SYSTEM,2024-11-25 10:38:39.910561
14,AG0014,Agent14,Lastname,agent14@darglobal.com,+966567157848,Senior Closer,8,1,SYSTEM,2025-05-09 10:38:39.910663
15,AG0015,Agent15,Lastname,agent15@darglobal.com,+974548715250,Senior Closer,8,1,SYSTEM,2024-12-07 10:38:39.910773
16,AG0016,Agent16,Lastname,agent16@darglobal.com,+974549583876,Lead Qualifier,7,1,SYSTEM,2025-08-25 10:38:39.910897
17,AG0017,Agent17,Lastname,agent17@darglobal.com,+966551327755,Lead Qualifier,1,1,SYSTEM,2025-07-22 10:38:39.911013
18,AG0018,Agent18,Lastname,agent18@darglobal.com,+91546626914,Follow-up Specialist,8,1,SYSTEM,2025-08-18 10:38:39.911610
19,AG0019,Agent19,Lastname,agent19@darglobal.com,+966534045666,Luxury Specialist,3,1,SYSTEM,2025-02-16 10:38:39.911734
20,AG0020,Agent20,Lastname,agent20@darglobal.com,+974597636744,Lead Qualifier,10,1,SYSTEM,2025-03-27 10:38:39.911857
21,AG0021,Agent21,Lastname,agent21@darglobal.com,+966507971379,Luxury Specialist,4,1,SYSTEM,2025-02-03 10:38:39.912249
22,AG0022,Agent22,Lastname,agent22@darglobal.com,+91536898446,AI Agent Supervisor,4,1,SYSTEM,2024-10-30 10:38:39.912552
23,AG0023,Agent23,Lastname,agent23@darglobal.com,+974531288562,Team Leader,2,1,SYSTEM,2025-07-22 10:38:39.912691
24,AG0024,Agent24,Lastname,agent24@darglobal.com,+966550441204,Team Leader,4,1,SYSTEM,2024-10-26 10:38:39.912959
25,AG0025,Agent25,Lastname,agent25@darglobal.com,+971590586459,Senior Closer,7,1,SYSTEM,2024-12-13 10:38:39.913149
26,AG0026,Agent26,Lastname,agent26@darglobal.com,+966523685747,Luxury Specialist,9,1,SYSTEM,2025-03-08 10:38:39.913276
27,AG0027,Agent27,Lastname,agent27@darglobal.com,+974547936136,Team Leader,5,1,SYSTEM,2025-01-31 10:38:39.913394
28,AG0028,Agent28,Lastname,agent28@darglobal.com,+968523234510,AI Agent Supervisor,6,1,SYSTEM,2025-02-01 10:38:39.913518
29,AG0029,Agent29,Lastname,agent29@darglobal.com,+968585382256,Team Leader,1,1,SYSTEM,2024-12-28 10:38:39.913635
30,AG0030,Agent30,Lastname,agent30@darglobal.com,+971584302960,Luxury Specialist,1,1,SYSTEM,2025-03-19 10:38:39.913756
31,AG0031,Agent31,Lastname,agent31@darglobal.com,+966533779713,Lead Qualifier,6,0,SYSTEM,2025-02-10 10:38:39.913886
32,AG0032,Agent32,Lastname,agent32@darglobal.com,+966540163712,AI Agent Supervisor,2,1,SYSTEM,2025-02-16 10:38:39.914006
33,AG0033,Agent33,Lastname,agent33@darglobal.com,+968578826934,AI Agent Supervisor,8,1,SYSTEM,2025-01-10 10:38:39.914187
