LeadId,LeadCode,FullName,Email,Phone,LeadStageId,CountryId,AssignedAgentId,EstimatedBudget,IsActive,CreatedBy,CreatedOn
1,LEAD000001,Lead 1,lead1@example.com,+966882392308,1,2,445.0,2375481.04,1,SYSTEM,2025-01-08 04:49:40.003490
2,LEAD000002,Lead 2,lead2@example.com,+971719624790,6,7,431.0,1938999.32,1,SYSTEM,2025-05-29 14:45:40.003490
3,LEAD000003,Lead 3,,+974688754331,1,3,113.0,1854951.73,1,SYSTEM,2025-01-26 13:55:40.003490
4,LEAD000004,Lead 4,lead4@example.com,+974923880652,1,1,,4300544.2,1,SYSTEM,2025-06-06 18:47:40.003490
5,LEAD000005,Lead 5,lead5@example.com,+974645889167,3,7,258.0,7007624.35,0,SYSTEM,2025-02-24 06:39:40.003490
6,LEAD000006,Lead 6,lead6@example.com,+966749205309,1,2,223.0,4113148.42,1,SYSTEM,2025-08-09 09:22:40.003490
7,LEAD000007,Lead 7,lead7@example.com,+971667439993,4,7,364.0,2856558.98,1,SYSTEM,2024-12-29 23:32:40.003490
8,LEAD000008,Lead 8,lead8@example.com,+971934110264,4,7,,1947095.98,1,SYSTEM,2025-08-22 19:00:40.003490
9,LEAD000009,Lead 9,lead9@example.com,+974609297308,2,2,402.0,1186459.74,1,SYSTEM,2024-11-16 10:38:40.003490
10,LEAD000010,Lead 10,lead10@example.com,+966633510535,1,1,116.0,3386838.7,1,SYSTEM,2025-01-25 21:26:40.003490
11,LEAD000011,Lead 11,lead11@example.com,+974650430953,1,2,262.0,3342939.82,1,SYSTEM,2025-02-23 00:31:40.003490
12,LEAD000012,Lead 12,lead12@example.com,+974557568342,1,2,274.0,4567833.88,1,SYSTEM,2025-01-21 15:19:40.003490
13,LEAD000013,Lead 13,lead13@example.com,+966679120801,1,9,309.0,953854.84,1,SYSTEM,2024-11-28 15:14:40.003490
14,LEAD000014,Lead 14,,+971725001854,1,2,300.0,995478.07,1,SYSTEM,2025-01-09 05:35:40.003490
15,LEAD000015,Lead 15,lead15@example.com,+966970633570,7,2,104.0,4133395.09,1,SYSTEM,2025-01-10 11:48:40.003490
16,LEAD000016,Lead 16,lead16@example.com,+966684789155,2,6,64.0,1268807.45,1,SYSTEM,2025-08-28 18:05:40.003490
17,LEAD000017,Lead 17,lead17@example.com,+966739469751,1,2,46.0,2031561.63,1,SYSTEM,2025-05-25 21:16:40.003490
18,LEAD000018,Lead 18,lead18@example.com,+971881099006,5,8,228.0,610286.41,1,SYSTEM,2025-02-23 02:21:40.003490
19,LEAD000019,Lead 19,lead19@example.com,+966954147021,2,1,92.0,2029846.97,1,SYSTEM,2025-05-29 05:27:40.003490
20,LEAD000020,Lead 20,lead20@example.com,+966775521360,2,5,225.0,9816257.27,1,SYSTEM,2025-09-21 13:25:40.003490
21,LEAD000021,Lead 21,lead21@example.com,+971769389148,2,1,,2933763.24,1,SYSTEM,2025-03-30 08:53:40.003490
22,LEAD000022,Lead 22,lead22@example.com,+974868100023,2,2,222.0,7296119.93,0,SYSTEM,2025-06-26 01:49:40.003490
23,LEAD000023,Lead 23,lead23@example.com,+966995966208,1,10,,7007559.38,0,SYSTEM,2025-02-03 12:38:40.003490
24,LEAD000024,Lead 24,lead24@example.com,+974880554343,4,7,290.0,4928120.99,1,SYSTEM,2025-04-10 11:13:40.003490
